sample1,sample2,ratio,x-z,y
006,241,2.9464288,0.8021878,0.8501742
006,305,3.193182,0.76121044,0.76829267
006,127,3.2405915,0.7525488,0.9303136
006,266,3.3373656,0.7588128,0.9094076
006,298,3.4901514,0.8039207,0.9599303
006,183,3.7083335,0.7722043,0.858885
009,241,3.2195768,0.8354347,0.83449477
009,305,3.46633,0.79445726,0.75261325
009,127,3.5137396,0.7857957,0.91463417
009,266,3.6105137,0.7920596,0.89372826
009,298,3.7632995,0.8371675,0.9442509
009,183,3.9814816,0.80545115,0.8432056
058,241,2.7457876,0.8406159,0.83101046
058,305,2.9925408,0.7996385,0.74912894
058,127,3.0399504,0.79097694,0.91114986
058,266,3.1367245,0.79724085,0.8902439
058,298,3.2895105,0.8423488,0.9407666
058,183,3.5076923,0.81063235,0.8397212
063,241,2.8005953,0.8627723,0.8066202
063,305,3.0473485,0.82179487,0.72473866
063,127,3.094758,0.8131333,0.8867596
063,266,3.1915321,0.8193972,0.86585367
063,298,3.3443182,0.8645052,0.9163763
063,183,3.5625,0.8327887,0.815331
081,241,2.7777777,0.81397426,0.83101046
081,305,3.024531,0.7729968,0.74912894
081,127,3.0719404,0.7643353,0.91114986
081,266,3.1687148,0.7705991,0.8902439
081,298,3.3215008,0.8157071,0.9407666
081,183,3.5396824,0.7839907,0.8397212
085,241,2.7703533,0.84016365,0.7944251
085,305,3.0171065,0.7991862,0.71254355
085,127,3.064516,0.79052466,0.87456447
085,266,3.1612902,0.7967886,0.85365856
085,298,3.3140762,0.84189653,0.9041812
085,183,3.532258,0.81018007,0.8031359
